term,ipa,respelling
naloxone,nəˈlɒksoʊn,na-LOX-one
ondansetron,ɒnˈdænsətrɒn,on-DAN-se-tron
tiotropium,ˌtaɪoʊˈtroʊpiəm,tye-oh-TROE-pee-um
salmeterol,sælˈmɛtərɒl,sal-MET-e-rol
budesonide,bjuːˈdɛsənaɪd,byoo-DES-oh-nide
montelukast,ˌmɒntɪˈluːkæst,mon-te-LOO-kast
levothyroxine,ˌliːvoʊθaɪˈrɒksiːn,lee-voe-thye-ROX-een
alendronate,əˈlɛndrəneɪt,a-LEN-dro-nate
denosumab,dɪˈnoʊsuːmæb,de-NOE-sue-mab
tacrolimus,tæˈkroʊlɪməs,ta-KROE-li-mus
mycophenolate,ˌmaɪkoʊˈfɛnəleɪt,my-koe-FEN-oh-late
haloperidol,ˌhæloʊˈpɛrɪdɒl,hal-oh-PER-i-dol
olanzapine,oʊˈlænzəpiːn,oh-LAN-za-peen
quetiapine,kwɛˈtaɪəpiːn,kwe-TYE-a-peen
risperidone,rɪˈspɛrɪdoʊn,ris-PER-i-done
aripiprazole,ˌærɪˈpɪprəzoʊl,ar-i-PIP-ra-zole
lithium,ˈlɪθiəm,LITH-ee-um
zolpidem,ˈzɒlpɪdɛm,ZOL-pi-dem
apremilast,əˈprɛmɪlæst,a-PREM-i-last
osimertinib,ˌoʊsɪˈmɜːrtɪnɪb,oh-si-MER-ti-nib
imatinib,ɪˈmætɪnɪb,i-MAT-i-nib
pneumonia,njuːˈmoʊniə,new-MOE-nee-a
anticoagulation,ˌæntikoʊˌæɡjʊˈleɪʃən,an-tee-koe-ag-yoo-LAY-shun
