drug_a,class_a,drug_b,class_b
propofol,the anesthetic,propranolol,the beta blocker
risperidone,the antipsychotic,ropinirole,the dopamine agonist for Parkinson's
rifampin,the tuberculosis antibiotic,rifaximin,the gut antibiotic
rituximab,the anti-CD20 antibody,infliximab,the anti-TNF antibody
sertraline,the SSRI antidepressant,cetirizine,the antihistamine
sitagliptin,the DPP-4 inhibitor for diabetes,sumatriptan,the migraine triptan
sulfasalazine,the aminosalicylate for IBD,sulfadiazine,the sulfonamide antibiotic
tamoxifen,the breast cancer antiestrogen,tamsulosin,the alpha blocker for prostate
tizanidine,the muscle relaxant,tiagabine,the anticonvulsant
tolbutamide,the sulfonylurea,terbutaline,the beta agonist bronchodilator
topiramate,the anticonvulsant,topotecan,the chemotherapy
valacyclovir,the antiviral,valganciclovir,the antiviral for CMV
vinorelbine,the chemotherapy vinca alkaloid,vinblastine,the chemotherapy vinca alkaloid
zyprexa,the antipsychotic olanzapine,zyrtec,the antihistamine cetirizine
xanax,the benzodiazepine alprazolam,zantac,the H2 blocker ranitidine
adderall,the amphetamine stimulant,inderal,the beta blocker propranolol
allopurinol,the gout medication,haloperidol,the antipsychotic
amiodarone,the antiarrhythmic,amantadine,the antiviral and Parkinson's drug
amlodipine,the calcium channel blocker,amiloride,the potassium-sparing diuretic
azathioprine,the immunosuppressant,azacitidine,the chemotherapy
bupropion,the antidepressant,buspirone,the anxiolytic
captopril,the ACE inhibitor,carvedilol,the beta blocker
cefazolin,the first-generation cephalosporin,ceftazidime,the third-generation cephalosporin
cefotaxime,the third-generation cephalosporin,cefoxitin,the second-generation cephalosporin
ceftriaxone,the third-generation cephalosporin,cefotaxime,the third-generation cephalosporin
chlorpromazine,the antipsychotic,chlorpropamide,the sulfonylurea
clobazam,the benzodiazepine for seizures,clonazepam,the benzodiazepine
cyclophosphamide,the alkylating chemotherapy,cyclosporine,the immunosuppressant
dexamethasone,the corticosteroid,dexmedetomidine,the sedative
digoxin,the cardiac glycoside,doxepin,the tricyclic antidepressant
enalapril,the ACE inhibitor,ramipril,the ACE inhibitor
escitalopram,the SSRI antidepressant,citalopram,the SSRI antidepressant
esomeprazole,the proton pump inhibitor,omeprazole,the proton pump inhibitor
famotidine,the H2 blocker,fluoxetine,the SSRI antidepressant
folic acid,the vitamin,folinic acid,leucovorin the rescue agent
gabapentin,the anticonvulsant for neuropathic pain,pregabalin,the anticonvulsant for neuropathic pain
hydralazine,the antihypertensive,hydroxyurea,the chemotherapy
ibuprofen,the NSAID,naproxen,the NSAID
insulin glargine,the long-acting insulin,insulin glulisine,the rapid-acting insulin
isotretinoin,the acne retinoid,tretinoin,the topical retinoid
levothyroxine,the thyroid hormone,liothyronine,the T3 thyroid hormone
losartan,the angiotensin receptor blocker,valsartan,the angiotensin receptor blocker
meropenem,the carbapenem antibiotic,ertapenem,the carbapenem antibiotic
methylprednisolone,the corticosteroid,medroxyprogesterone,the progestin
midazolam,the benzodiazepine sedative,lorazepam,the benzodiazepine
nitroglycerin,the vasodilator for angina,nitroprusside,the intravenous vasodilator
oxybutynin,the bladder antispasmodic,oxycodone,the opioid
pantoprazole,the proton pump inhibitor,pramipexole,the dopamine agonist
pioglitazone,the thiazolidinedione for diabetes,rosiglitazone,the thiazolidinedione for diabetes
quetiapine,the antipsychotic,olanzapine,the antipsychotic
rivaroxaban,the factor Xa anticoagulant,apixaban,the factor Xa anticoagulant
rosuvastatin,the statin,atorvastatin,the statin
simvastatin,the statin,pravastatin,the statin
spironolactone,the potassium-sparing diuretic,eplerenone,the aldosterone antagonist
tacrolimus,the immunosuppressant,sirolimus,the mTOR immunosuppressant
terbinafine,the antifungal,terbutaline,the beta agonist bronchodilator
ticagrelor,the P2Y12 antiplatelet,clopidogrel,the P2Y12 antiplatelet
vancomycin,the glycopeptide antibiotic,vecuronium,the neuromuscular blocker
venlafaxine,the SNRI antidepressant,desvenlafaxine,the SNRI antidepressant
warfarin,the vitamin K antagonist anticoagulant,wellbutrin,the antidepressant bupropion
zonisamide,the anticonvulsant,zolpidem,the sleep medication
semaglutide,the GLP-1 agonist,tirzepatide,the dual GIP and GLP-1 agonist
semaglutide,the GLP-1 agonist,liraglutide,the GLP-1 agonist
empagliflozin,the SGLT2 inhibitor,dapagliflozin,the SGLT2 inhibitor
